code,property,needs_translation,default,translated
NEOIPC,NAME,f,NeoIPC,NeoIPC
NEOIPC,SHORT_NAME,f,NeoIPC,NeoIPC
AT,NAME,f,Austria,Austria
AT,SHORT_NAME,f,Austria,Austria
CH,NAME,f,Switzerland,Switzerland
CH,SHORT_NAME,f,Switzerland,Switzerland
DE,NAME,f,Germany,Germany
DE,SHORT_NAME,f,Germany,Germany
EE,NAME,f,Estonia,Estonia
EE,SHORT_NAME,f,Estonia,Estonia
ES,NAME,f,Spain,Spain
ES,SHORT_NAME,f,Spain,Spain
GB,NAME,f,United Kingdom,United Kingdom
GB,SHORT_NAME,f,UK,UK
GR,NAME,f,Greece,Greece
GR,SHORT_NAME,f,Greece,Greece
IT,NAME,f,Italy,Italy
IT,SHORT_NAME,f,Italy,Italy
NP,NAME,f,Nepal,Nepal
NP,SHORT_NAME,f,Nepal,Nepal
TEST_UNITS,NAME,f,Test Units,Test Units
TEST_UNITS,SHORT_NAME,f,Test Units,Test Units
UA,NAME,f,Ukraine,Ukraine
UA,SHORT_NAME,f,Ukraine,Ukraine
ZA,NAME,f,South Africa,South Africa
ZA,SHORT_NAME,f,South Africa,South Africa
AL,NAME,f,Albania,Albania
AL,SHORT_NAME,f,Albania,Albania
BE,NAME,f,Belgium,Belgium
BE,SHORT_NAME,f,Belgium,Belgium
BG,NAME,f,Bulgaria,Bulgaria
BG,SHORT_NAME,f,Bulgaria,Bulgaria
CY,NAME,f,Cyprus,Cyprus
CY,SHORT_NAME,f,Cyprus,Cyprus
CZ,NAME,f,Czechia,Czechia
CZ,SHORT_NAME,f,Czechia,Czechia
DK,NAME,f,Denmark,Denmark
DK,SHORT_NAME,f,Denmark,Denmark
FI,NAME,f,Finland,Finland
FI,SHORT_NAME,f,Finland,Finland
FR,NAME,f,France,France
FR,SHORT_NAME,f,France,France
HR,NAME,f,Croatia,Croatia
HR,SHORT_NAME,f,Croatia,Croatia
HU,NAME,f,Hungary,Hungary
HU,SHORT_NAME,f,Hungary,Hungary
IE,NAME,f,Ireland,Ireland
IE,SHORT_NAME,f,Ireland,Ireland
IS,NAME,f,Iceland,Iceland
IS,SHORT_NAME,f,Iceland,Iceland
LI,NAME,f,Liechtenstein,Liechtenstein
LI,SHORT_NAME,f,Liechtenstein,Liechtenstein
LT,NAME,f,Lithuania,Lithuania
LT,SHORT_NAME,f,Lithuania,Lithuania
LU,NAME,f,Luxembourg,Luxembourg
LU,SHORT_NAME,f,Luxembourg,Luxembourg
LV,NAME,f,Latvia,Latvia
LV,SHORT_NAME,f,Latvia,Latvia
ME,NAME,f,Montenegro,Montenegro
ME,SHORT_NAME,f,Montenegro,Montenegro
MK,NAME,f,North Macedonia,North Macedonia
MK,SHORT_NAME,f,North Macedonia,North Macedonia
MT,NAME,f,Malta,Malta
MT,SHORT_NAME,f,Malta,Malta
NL,NAME,f,Netherlands,Netherlands
NL,SHORT_NAME,f,Netherlands,Netherlands
NO,NAME,f,Norway,Norway
NO,SHORT_NAME,f,Norway,Norway
PL,NAME,f,Poland,Poland
PL,SHORT_NAME,f,Poland,Poland
PT,NAME,f,Portugal,Portugal
PT,SHORT_NAME,f,Portugal,Portugal
RO,NAME,f,Romania,Romania
RO,SHORT_NAME,f,Romania,Romania
RS,NAME,f,Serbia,Serbia
RS,SHORT_NAME,f,Serbia,Serbia
SE,NAME,f,Sweden,Sweden
SE,SHORT_NAME,f,Sweden,Sweden
SI,NAME,f,Slovenia,Slovenia
SI,SHORT_NAME,f,Slovenia,Slovenia
SK,NAME,f,Slovakia,Slovakia
SK,SHORT_NAME,f,Slovakia,Slovakia
TR,NAME,f,Türkiye,Türkiye
TR,SHORT_NAME,f,Türkiye,Türkiye
